Potential applied (V),Time (s),WE(1).Current (A),Scan,Index,Q+,Q-,Current range
-0.14739990234375,48.2744788781187,-1.080322265625E-07,1,1,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.144805908203125,48.7932778768088,-1.03759765625E-07,1,2,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.1422119140625,49.312076875499,-9.97924804687495E-08,1,3,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.139617919921875,49.8308758741891,-9.613037109375E-08,1,4,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.13702392578125,50.3496748728793,-9.307861328125E-08,1,5,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.134429931640625,50.8684738715694,-9.06372070312494E-08,1,6,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.1318359375,51.3872728702596,-8.81958007812503E-08,1,7,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.129241943359375,51.9060718689498,-8.66699218750003E-08,1,8,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.12664794921875,52.4248708676399,-8.392333984375E-08,1,9,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.124053955078125,52.9436698663301,-8.17871093750006E-08,1,10,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.1214599609375,53.4624688650202,-8.05664062500003E-08,1,11,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.118865966796875,53.9812678637104,-7.81249999999997E-08,1,12,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.11627197265625,54.5000668624006,-7.62939453125E-08,1,13,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.113677978515625,55.0188658610907,-7.476806640625E-08,1,14,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.111083984375,55.5376648597809,-7.35473632812497E-08,1,15,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.108489990234375,56.056463858471,-7.171630859375E-08,1,16,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.10589599609375,56.5752628571612,-7.08007812499994E-08,1,17,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.103302001953125,57.0940618558514,-6.92749023437495E-08,1,18,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.1007080078125,57.6128608545415,-6.74438476562497E-08,1,19,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.098114013671875,58.1316598532317,-6.65283203125006E-08,1,20,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.09552001953125,58.6504588519218,-6.59179687499997E-08,1,21,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.092926025390625,59.169257850612,-6.37817382812503E-08,1,22,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.09033203125,59.6880568493021,-6.31713867187495E-08,1,23,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.087738037109375,60.2068558479923,-6.256103515625E-08,1,24,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.08514404296875,60.7256548466825,-6.103515625E-08,1,25,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.082550048828125,61.2444538453726,-5.98144531249997E-08,1,26,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.0799560546875,61.7632528440628,-5.85937499999994E-08,1,27,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.077362060546875,62.2820518427529,-5.79833984375E-08,1,28,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.07476806640625,62.8008508414431,-5.70678710937494E-08,1,29,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.072174072265625,63.3196498401333,-5.58471679687506E-08,1,30,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.069580078125,63.8384488388234,-5.55419921874995E-08,1,31,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.066986083984375,64.3572478375136,-5.52368164062497E-08,1,32,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.06439208984375,64.8760468362037,-5.340576171875E-08,1,33,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.061798095703125,65.3948458348939,-5.24902343749994E-08,1,34,0.00014437198638916,-3.99353820830583E-05,100 µA
-0.0592041015625,65.913644833584,-5.12695312500006E-08,1,35,0.00014437198638916,-3.99353820830583E-05,100 µA
