Ewe/V	<I>/mA	time/s	cycle number	(Q-Qo)/C	I Range	Rcmp/Ohm	
-1.0032071E-001	-3.814945463091135E-003	0.000000000000000E+000	1.000000000000000E+000	0.0000000E+000	14	0.0000000E+000
-1.0041624E-001	-3.123696653498337E-003	9.999999747378752E-001	1.000000000000000E+000	-3.1236966E-006	14	0.0000000E+000
-1.0043535E-001	-2.356597720319407E-003	1.999999949475750E+000	1.000000000000000E+000	-5.4802945E-006	14	0.0000000E+000
-1.0033982E-001	-1.976561496756040E-003	2.999999924213625E+000	1.000000000000000E+000	-7.4568557E-006	14	0.0000000E+000
-1.0039714E-001	-1.740577772608963E-003	3.999999898951501E+000	1.000000000000000E+000	-9.1974334E-006	14	0.0000000E+000
-1.0035893E-001	-1.575127807073296E-003	4.999999873689376E+000	1.000000000000000E+000	-1.0772561E-005	14	0.0000000E+000
-1.0041624E-001	-1.449954904057088E-003	5.999999848427251E+000	1.000000000000000E+000	-1.2222516E-005	14	0.0000000E+000
-1.0030160E-001	-1.350371076189913E-003	6.999999823165126E+000	1.000000000000000E+000	-1.3572887E-005	14	0.0000000E+000
-1.0039714E-001	-1.268716854252854E-003	7.999999797903001E+000	1.000000000000000E+000	-1.4841604E-005	14	0.0000000E+000
-1.0035893E-001	-1.199753974843771E-003	8.999999772640876E+000	1.000000000000000E+000	-1.6041358E-005	14	0.0000000E+000
-1.0037803E-001	-1.140385427093134E-003	9.999999747378752E+000	1.000000000000000E+000	-1.7181743E-005	14	0.0000000E+000
-1.0014874E-001	-1.088529133773409E-003	1.099999972211663E+001	1.000000000000000E+000	-1.8270273E-005	14	0.0000000E+000
-1.0049267E-001	-1.042555584292861E-003	1.199999969685450E+001	1.000000000000000E+000	-1.9312827E-005	14	0.0000000E+000
-1.0037803E-001	-1.001449892693199E-003	1.299999967159238E+001	1.000000000000000E+000	-2.0314277E-005	14	0.0000000E+000
-1.0032071E-001	-9.642693102476195E-004	1.399999964633025E+001	1.000000000000000E+000	-2.1278547E-005	14	0.0000000E+000
-1.0041624E-001	-9.304156460906610E-004	1.500479962094687E+001	1.000000000000000E+000	-2.2213429E-005	14	0.0000000E+000
-1.0010419E-001	-8.935224981418931E-004	1.503229962025216E+001	1.000000000000000E+000	-2.2238000E-005	14	0.0000000E+000
-9.9633940E-002	-8.802336017911328E-004	1.508229961898905E+001	1.000000000000000E+000	-2.2282218E-005	14	0.0000000E+000
-9.9111691E-002	-8.715663646657983E-004	1.513229961772595E+001	1.000000000000000E+000	-2.2325939E-005	14	0.0000000E+000
-9.8615959E-002	-8.635716441772255E-004	1.518219961646537E+001	1.000000000000000E+000	-2.2369126E-005	14	0.0000000E+000
-9.8066114E-002	-8.569183661113131E-004	1.523209961520479E+001	1.000000000000000E+000	-2.2411970E-005	14	0.0000000E+000
-9.7590558E-002	-8.502201583895294E-004	1.528209961394168E+001	1.000000000000000E+000	-2.2454544E-005	14	0.0000000E+000
-9.7110972E-002	-8.448490631034443E-004	1.533199961268110E+001	1.000000000000000E+000	-2.2496768E-005	14	0.0000000E+000
-9.6604422E-002	-8.383454164400932E-004	1.538189961142052E+001	1.000000000000000E+000	-2.2538654E-005	14	0.0000000E+000
-9.6111886E-002	-8.335589070732438E-004	1.543189961015742E+001	1.000000000000000E+000	-2.2580372E-005	14	0.0000000E+000
-9.5619351E-002	-8.277942398277598E-004	1.548189960889431E+001	1.000000000000000E+000	-2.2621809E-005	14	0.0000000E+000
-9.5059454E-002	-8.229524546323006E-004	1.553179960763373E+001	1.000000000000000E+000	-2.2662927E-005	14	0.0000000E+000
-9.4579086E-002	-8.177133058076894E-004	1.558169960637315E+001	1.000000000000000E+000	-2.2703758E-005	14	0.0000000E+000
-9.4074875E-002	-8.134970559281901E-004	1.563169960511004E+001	1.000000000000000E+000	-2.2744463E-005	14	0.0000000E+000
-9.3638033E-002	-8.081461062754789E-004	1.568159960384946E+001	1.000000000000000E+000	-2.2784827E-005	14	0.0000000E+000
-9.3109973E-002	-8.044429712508146E-004	1.573149960258888E+001	1.000000000000000E+000	-2.2824992E-005	14	0.0000000E+000
-9.2640787E-002	-7.991833044622351E-004	1.578149960132578E+001	1.000000000000000E+000	-2.2864975E-005	14	0.0000000E+000
-9.2107914E-002	-7.951629598996739E-004	1.583149960006267E+001	1.000000000000000E+000	-2.2904769E-005	14	0.0000000E+000
-9.1661222E-002	-7.903335670683635E-004	1.588139959880209E+001	1.000000000000000E+000	-2.2944238E-005	14	0.0000000E+000
-9.1114357E-002	-7.866344169377773E-004	1.593129959754151E+001	1.000000000000000E+000	-2.2983511E-005	14	0.0000000E+000
-9.0622887E-002	-7.820913991796637E-004	1.598129959627840E+001	1.000000000000000E+000	-2.3022631E-005	14	0.0000000E+000
-9.0109333E-002	-7.781768981929282E-004	1.603119959501782E+001	1.000000000000000E+000	-2.3061488E-005	14	0.0000000E+000
-8.9639939E-002	-7.737485763188307E-004	1.608109959375724E+001	1.000000000000000E+000	-2.3100114E-005	14	0.0000000E+000
-8.9117683E-002	-7.706559360182545E-004	1.613109959249414E+001	1.000000000000000E+000	-2.3138653E-005	14	0.0000000E+000
-8.8620901E-002	-7.656219793821875E-004	1.618109959123103E+001	1.000000000000000E+000	-2.3176959E-005	14	0.0000000E+000
